Age,Baden-Wuerttemberg_Male,Baden-Wuerttemberg_Female,Baden-Wuerttemberg_Total,Bayern_Male,Bayern_Female,Bayern_Total,Berlin_Male,Berlin_Female,Berlin_Total,Brandenburg_Male,Brandenburg_Female,Brandenburg_Total,Bremen_Male,Bremen_Female,Bremen_Total,Hamburg_Male,Hamburg_Female,Hamburg_Total,Hessen_Male,Hessen_Female,Hessen_Total,Mecklenburg-Vorpommern_Male,Mecklenburg-Vorpommern_Female,Mecklenburg-Vorpommern_Total,Niedersachsen_Male,Niedersachsen_Female,Niedersachsen_Total,Nordrhein-Westfalen_Male,Nordrhein-Westfalen_Female,Nordrhein-Westfalen_Total,Rheinland-Pfalz_Male,Rheinland-Pfalz_Female,Rheinland-Pfalz_Total,Saarland_Male,Saarland_Female,Saarland_Total,Sachsen_Male,Sachsen_Female,Sachsen_Total,Sachsen-Anhalt_Male,Sachsen-Anhalt_Female,Sachsen-Anhalt_Total,Schleswig-Holstein_Male,Schleswig-Holstein_Female,Schleswig-Holstein_Total,Th�ringen_Male,Th�ringen_Female,Th�ringen_Total
79 years,36785,44856,81641,43187,53099,96286,12664,16623,29287,10632,13835,24467,2335,3121,5456,5741,7354,13095,20547,25245,45792,6212,8351,14563,28700,35247,63947,57732,74522,132254,13372,16331,29703,3267,4346,7613,17184,23294,40478,9584,13167,22751,11681,14404,26085,8438,11409,19847
80 years,41667,54070,95737,49884,64169,114053,14068,18781,32849,12640,16709,29349,2533,3430,5963,6313,8292,14605,23754,29870,53624,7615,10378,17993,33238,42176,75414,65783,87956,153739,15627,20306,35933,4064,5496,9560,20313,28211,48524,11250,15499,26749,13716,16914,30630,10365,14178,24543
81 years,41538,55401,96939,50094,66765,116859,12631,17475,30106,11866,16485,28351,2596,3383,5979,6104,8503,14607,23897,31459,55356,7116,10280,17396,32688,43062,75750,67078,92540,159618,15958,21636,37594,3920,5600,9520,19995,28028,48023,10863,15398,26261,13133,16709,29842,10391,15052,25443
82 years,39023,53062,92085,47053,63927,110980,11081,16110,27191,10833,15590,26423,2316,3356,5672,5475,7875,13350,21987,29864,51851,6684,10197,16881,30203,41117,71320,62567,88549,151116,15131,20207,35338,3809,5569,9378,18111,26851,44962,9781,14514,24295,12254,16091,28345,9629,13944,23573
83 years,33890,47893,81783,39711,55571,95282,9723,14484,24207,9175,13799,22974,2072,3124,5196,4827,7220,12047,18921,26215,45136,5841,9022,14863,27000,37612,64612,55098,80250,135348,13147,18151,31298,3284,4845,8129,15415,23170,38585,7984,12524,20508,10657,14559,25216,7815,11570,19385
84 years,29481,42069,71550,33336,48391,81727,8288,13126,21414,7837,12124,19961,1758,2687,4445,4342,6300,10642,16251,23192,39443,4832,7795,12627,22883,32745,55628,47660,72343,120003,11244,16281,27525,3021,4720,7741,12971,20197,33168,6845,11037,17882,9174,12645,21819,6281,10117,16398
85 years,25766,38105,63871,28485,43279,71764,7373,11629,19002,6974,11114,18088,1564,2478,4042,3779,5844,9623,14479,21091,35570,4139,7250,11389,19396,29580,48976,41456,65185,106641,9985,14857,24842,2673,4376,7049,11374,18648,30022,5878,10080,15958,7767,11244,19011,5601,9184,14785
86 years,22195,33785,55980,23827,38240,62067,6377,10436,16813,5943,9984,15927,1289,2146,3435,3174,5310,8484,11880,18733,30613,3650,6444,10094,16527,26364,42891,35738,58400,94138,8357,13230,21587,2175,3633,5808,10236,16769,27005,4921,9043,13964,6405,10033,16438,4609,8153,12762
87 years,17624,28152,45776,19315,32320,51635,5223,8911,14134,4747,8287,13034,1023,1875,2898,2400,4344,6744,9631,15828,25459,2991,5442,8433,13214,22204,35418,29236,50066,79302,6805,11051,17856,1658,2870,4528,8117,14460,22577,3991,7759,11750,5138,8132,13270,3779,6846,10625
88 years,12731,21206,33937,13786,24416,38202,3216,5861,9077,3094,5781,8875,683,1290,1973,1670,2995,4665,6697,11435,18132,1953,3996,5949,8737,15716,24453,19638,35653,55291,4688,8115,12803,1255,2235,3490,5366,10085,15451,2556,5446,8002,3174,5650,8824,2489,4694,7183
89 years,10367,18584,28951,11504,21857,33361,2550,4905,7455,2626,5010,7636,532,1142,1674,1368,2611,3979,5541,10139,15680,1707,3512,5219,7152,13972,21124,16495,31563,48058,3902,7120,11022,1016,2052,3068,4194,8651,12845,2218,4709,6927,2562,4817,7379,1991,4247,6238
90 years and over,33005,76350,109355,36003,86061,122064,8452,21529,29981,7341,19610,26951,1956,5091,7047,4898,12106,17004,18668,44146,62814,4545,12751,17296,23637,60472,84109,52555,133418,185973,12739,31249,43988,3113,8082,11195,13421,37658,51079,6026,18798,24824,8711,21373,30084,5847,16832,22679
Total,5526110,5598532,11124642,6532222,6644767,13176989,1807826,1869646,3677472,1250325,1287543,2537868,334319,342144,676463,907682,946253,1853935,3108589,3186428,6295017,793443,817717,1611160,3962947,4064084,8027031,8795533,9129058,17924591,2030323,2076162,4106485,482439,499909,982348,1992884,2050118,4043002,1067143,1102110,2169253,1431064,1490941,2922005,1043936,1064927,2108863
